TimeStamp: 2021-08-25 17:00:21.544423, from folder: Fst_5000K, Sec_5000K


AWB Golden Sample
01, 0056750A19021E080407000521180000, 0.001102042128602987
02, 0056750A19021E080407000529190000, 0.0011490421286030061
03, 0056750A19021E08040700051E190000, 0.0015280421286030244
04, 0056750A19021E0804070005531A0000, 0.0015820421286030228
05, 0056750A19021E080407000537170000, 0.001725875831485535
06, 0056750A19021E080407000503160000, 0.0019981241685145257
07, 0056750A19021E080407000527180000, 0.0021040421286030453
08, 0056750A19021E08040700051D1A0000, 0.0021140421286029998
09, 0056750A19021E080407000535180000, 0.0022468758314855286
10, 0056750A19021E08040700051F1A0000, 0.002277875831485421

AWB Limit Sample
01, 0056750A19021E0804070005001E0000, 0.04163395787139701
02, 0056750A19021E0804070005241E0000, 0.03809595787139708
03, 0056750A19021E0804070005001F0000, 0.03808295787139704
04, 0056750A19021E08040700052C1D0000, 0.03735995787139701
05, 0056750A19021E08040700052B1D0000, 0.03673495787139702
06, 0056750A19021E0804070005261F0000, 0.036302957871397035
07, 0056750A19021E0804070005241D0000, 0.035307957871396956
08, 0056750A19021E0804070005011F0000, 0.03490195787139705
09, 0056750A19021E0804070005251F0000, 0.03489295787139701
10, 0056750A19021E08040700052A1E0000, 0.03482195787139697

LSC Golden Sample
01, 0056750A19021E0804070005141A0000, 24.32589535203445
02, 0056750A19021E080407000513180000, 28.10308010828504
03, 0056750A19021E0804070005141B0000, 30.484141039476576
04, 0056750A19021E080407000521180000, 30.683174407284938
05, 0056750A19021E0804070005101B0000, 31.473419184474764
06, 0056750A19021E0804070005171A0000, 33.46652219164884
07, 0056750A19021E08040700051F180000, 33.70012987543299
08, 0056750A19021E080407000512180000, 33.77126031234276
09, 0056750A19021E080407000527190000, 34.14036652556245
10, 0056750A19021E08040700051A180000, 34.900874216302135

LSC Limit Sample
01, 0056750A19021E08040700050B160000, 228.4944790761019
02, 0056750A19021E080407000511180000, 217.20258234514293
03, 0056750A19021E08040700053D170000, 203.58621817284393
04, 0056750A19021E08040700050A1E0000, 180.69024603662183
05, 0056750A19021E08040700052C1D0000, 180.05172424967085
06, 0056750A19021E0804070005241F0000, 174.86747932073925
07, 0056750A19021E0804070005071B0000, 171.41435941663062
08, 0056750A19021E08040700051B1E0000, 166.63127282417764
09, 0056750A19021E08040700051E1D0000, 162.67862842540092
10, 0056750A19021E0804070005221E0000, 160.4514474628204
